"country"	"R2"	"Adjusted_R2"	"Last_Pageviews"
"Andorra"	0.0988877592548166	0.0425682442082427	409000
"United Arab Emirates"	0.778860268326631	0.765039035097046	33170000
"Afghanistan"	0.0401381252400568	-0.0198532419324398	1539000
"Antigua and Barbuda"	0.634060042675	0.611188795342188	431000
"Anguilla"	0.452329743577175	0.418100352550748	42000
"Albania"	0.479714023255647	0.447196149709125	7413000
"Armenia"	0.0295450407298748	-0.0311083942245081	8984000
"Angola"	0.416054703684482	0.379558122664762	6342000
"Argentina"	0.376492290779823	0.337523058953562	145792000
"American Samoa"	0.0671045930663385	0.00879863013298465	73000
"Austria"	0.0801723345414875	0.0226831054503305	122139000
"Australia"	0.50121978240548	0.470046018805822	249575000
"Aruba"	0.572821728984792	0.546123087046341	515000
"Aland Islands"	0.848660906835744	0.839202213512978	273000
"Azerbaijan"	0.150177084969481	0.0970631527800738	13223000
"Bosnia and Herzegovina"	0.765003398792458	0.750316111216987	10490000
"Barbados"	0.839421161784518	0.82938498439605	1488000
"Bangladesh"	0.569818956545649	0.542932641329751	22872000
"Belgium"	0.601114359422309	0.576184006886203	75001000
"Burkina Faso"	0.794351319555966	0.781498277028214	1250000
"Bulgaria"	0.43225022336355	0.396765862323772	32587000
"Bahrain"	0.753655165121664	0.738258612941768	4738000
"Burundi"	0.781831212047419	0.768195662800382	360000
"Benin"	0.777239540425497	0.76331701170209	1412000
"Bermuda"	0.595946934117166	0.570693617499489	444000
"Brunei Darussalam"	0.521138780695594	0.491209954489069	2717000
"Bolivia"	0.0132628771290746	-0.0484081930503582	14393000
"Brazil"	0.619545494653392	0.595767088069229	317159000
"Bahamas"	0.820346550521094	0.809118209928663	1343000
"Bhutan"	0.0470774242550003	-0.0124802367290622	424000
"Botswana"	0.075982615454327	0.0182315289202225	1098000
"Belarus"	0.0196409459783921	-0.0416314948979584	47354000
"Belize"	0.348584164531228	0.30787067481443	735000
"Canada"	0.695562596001507	0.676535258251601	444588000
"Congo, The Democratic Republic of the"	0.86062622496981	0.851915364030423	2852000
"Switzerland"	0.415311213744836	0.378768164603888	96630000
"Cote d'Ivoire"	0.181336396905001	0.130169921711563	4152000
"Chile"	0.372454929673112	0.333233362777681	76601000
"Cameroon"	0.496313854966499	0.464833470901906	2968000
"China"	0.749798029132319	0.734160405953089	454971000
"Colombia"	0.218707884261309	0.169877127027641	135714000
"Costa Rica"	0.39827907638946	0.360671518663801	15501000
"Cuba"	0.170880768270596	0.119060816287509	968000
"Cape Verde"	0.12929059779877	0.0748712601611928	431000
"Cyprus"	0.664303460102376	0.643322426358774	5404000
"Czech Republic"	0.152035836884046	0.0990380766892992	82945000
"Germany"	0.436487450877529	0.401267916557374	921195000
"Djibouti"	0.467198282059959	0.433898174688707	479000
"Denmark"	0.429442892517046	0.393783073299361	60098000
"Dominica"	0.251981106142288	0.205229925276181	286000
"Dominican Republic"	0.0664106152339525	0.00806127868607454	24801000
"Algeria"	0.0725928114381258	0.0146298621530087	29437000
"Ecuador"	0.227196352376714	0.178896124400259	37437000
"Estonia"	0.170414945232486	0.118565879309516	14196000
"Egypt"	0.658832991086753	0.637510053029675	34746000
"Spain"	0.443053318330973	0.408244150726658	306864000
"Ethiopia"	0.134499542838051	0.0804057642654293	3755000
"Finland"	0.461000435663935	0.427312962892931	89884000
"Fiji"	0.100252942630312	0.0440187515447064	934000
"Falkland Islands (Malvinas)"	0.254189667438112	0.207576521652994	23000
"Faroe Islands"	0.824444339487098	0.813472110705042	435000
"France"	0.167014967828483	0.114953403317764	609080000
"Gabon"	0.105761661878897	0.0498717657463281	854000
"United Kingdom"	0.761791066703645	0.746903008372622	799604000
"Grenada"	0.159131543230607	0.10657726468252	342000
"Georgia"	0.347399602966615	0.306612078152028	11063000
"French Guiana"	0.369844175039141	0.330459435979088	632000
"Guernsey"	0.254564022200097	0.207974273587604	911000
"Ghana"	0.0899382076918531	0.0330593456725939	8994000
"Gibraltar"	0.658471255762604	0.637125709247766	362000
"Greenland"	0.210936660396585	0.161620201671371	190000
"Gambia"	0.0372703704397008	-0.0229002314078179	312000
"Guinea"	0.899369996901799	0.893080621708162	1238000
"Guadeloupe"	0.385029474020705	0.346593816146999	1773000
"Equatorial Guinea"	0.7070960921256	0.68878959788345	99000
"Greece"	0.804473487718408	0.792253080700808	52197000
"Guatemala"	0.0137905781990023	-0.0478475106635601	16394000
"Guam"	0.911939072365868	0.906435264388735	918000
"Guyana"	0.00118017154389411	-0.0612460677346125	575000
"Hong Kong"	0.483957194182934	0.451704518819367	93769000
"Honduras"	0.053714071640811	-0.00542879888163839	8008000
"Croatia"	0.794510646104825	0.781667561486377	27136000
"Haiti"	0.00694123593266197	-0.0551249368215467	2380000
"Hungary"	0.491416917043101	0.459630474358294	52271000
"Indonesia"	0.00606068171921967	-0.0560605256733291	201366000
"Ireland"	0.0506541471395367	-0.00867996866424225	80331000
"Israel"	0.591416511831875	0.565880043821368	73353000
"Isle of Man"	0.843775561537854	0.83401153413397	891000
"India"	0.577639546204043	0.551242017841795	530133000
"Iraq"	0.61274281076401	0.588539236436761	10605000
"Iran, Islamic Republic of"	0.0368237846911331	-0.0233747287656711	140336000
"Iceland"	0.696214087838295	0.677227468328188	4303000
"Italy"	0.709296987598434	0.691128049323336	517930000
"Jersey"	0.825946294764334	0.815067938187105	1014000
"Jamaica"	0.205369078013999	0.155704645389874	4716000
"Jordan"	0.491172984873977	0.4593712964286	9789000
"Japan"	0.394486365804239	0.356641763667004	1176153000
"Kenya"	0.186594660126531	0.13575682638444	15881000
"Kyrgyzstan"	0.541787639598649	0.513149367073565	6674000
"Cambodia"	0.470420617320362	0.437321905902885	4379000
"Saint Kitts and Nevis"	0.499654951356639	0.468383385816429	261000
"Korea, Republic of"	0.245844546349636	0.198709830496488	120364000
"Kuwait"	0.829178209417191	0.818501847505766	9846000
"Cayman Islands"	0.787274372522396	0.773979020805046	481000
"Kazakhstan"	0.174690258820351	0.123108399996622	59673000
"Lao People's Democratic Republic"	0.474554302865394	0.441713946794482	1023000
"Lebanon"	0.621955449615761	0.598327665216746	8494000
"Saint Lucia"	0.0403578964001503	-0.0196197350748404	459000
"Liechtenstein"	0.439616786115308	0.404592835247515	405000
"Sri Lanka"	0.672289224280029	0.651807300797531	10901000
"Liberia"	0.679215366913462	0.659166327345553	279000
"Lesotho"	0.108441447874878	0.0527190383670582	390000
"Lithuania"	0.101554767500708	0.0454019404695021	21469000
"Luxembourg"	0.733262067071422	0.716590946263386	6013000
"Latvia"	3.34463162037025e-05	-0.0624644632890337	14838000
"Libyan Arab Jamahiriya"	0.506409132740457	0.475559703536736	2424000
"Morocco"	0.339980139931242	0.298728898676945	29628000
"Monaco"	0.52568511092985	0.496040430362966	410000
"Moldova, Republic of"	0.0381322035769064	-0.021984533699537	11068000
"Montenegro"	0.801511200126888	0.789105650134819	2609000
"Madagascar"	0.391483344449543	0.353451053477639	2205000
"Macedonia"	0.60494575005111	0.580254859429304	7924000
"Mali"	0.295039388468267	0.250979350247533	1478000
"Myanmar"	0.2316310616161	0.183608002967106	2108000
"Mongolia"	0.0130394481070683	-0.0486455863862401	3107000
"Macao"	0.71100332882278	0.692941036874203	4357000
"Northern Mariana Islands"	0.631203134206959	0.608153330094894	149000
"Martinique"	0.254515283160076	0.207922488357581	1424000
"Mauritania"	0.0170215124050761	-0.0444146430696066	541000
"Malta"	0.676093747894902	0.655849607138333	4288000
"Mauritius"	0.743527485505472	0.727497953349564	3595000
"Maldives"	0.656393217294426	0.634917793375327	1163000
"Malawi"	0.0660626164013868	0.00769152992647348	801000
"Mexico"	0.215725387643517	0.166708224371237	335139000
"Malaysia"	0.80272611626014	0.790396498526398	74173000
"Mozambique"	0.325921802745551	0.283791915417148	3746000
"Namibia"	0.0068715415775959	-0.0551989870738043	1267000
"New Caledonia"	0.438883541610525	0.403813762961183	934000
"Niger"	0.0329872362049452	-0.0274510615322456	285000
"Nigeria"	0.000621647182480284	-0.0618394998686147	30130000
"Nicaragua"	0.136499715930838	0.0825309481765149	5599000
"Netherlands"	0.604091212029318	0.579346912781151	258394000
"Norway"	0.0271629638451486	-0.0336393509145296	76763000
"Nepal"	0.0738109500358562	0.0159241344130971	8147000
"New Zealand"	0.50991193069851	0.479281426367167	45959000
"Oman"	0.329482855256611	0.287575533710149	6169000
"Panama"	0.0224859533034346	-0.0386086746151006	13407000
"Peru"	0.284772347784943	0.240070619521502	62720000
"French Polynesia"	0.573221032079509	0.546547346584479	816000
"Papua New Guinea"	0.219633650541582	0.17086075370043	674000
"Philippines"	0.14557244752733	0.0921707254977883	110662000
"Pakistan"	0.548406290190802	0.520181683327727	50088000
"Poland"	0.0581691228234635	-0.000695307000069922	275056000
"Puerto Rico"	0.506228908678729	0.475368215471149	13187000
"Palestinian Territory"	0.625753030421674	0.602362594823029	3153000
"Portugal"	0.711377483031691	0.693338575721172	47186000
"Paraguay"	0.313139140676325	0.270210336968595	9899000
"Qatar"	0.842662504871504	0.832828911425973	8085000
"Reunion"	0.000704041076345653	-0.0617519563563826	4574000
"Romania"	0.0425493995474213	-0.0172912629808648	86708000
"Serbia"	0.579177546223117	0.552876142862062	33483000
"Russian Federation"	0.245384994393911	0.198221556543531	896643000
"Rwanda"	0.152192790554902	0.0992048399645835	1697000
"Saudi Arabia"	0.789840162785652	0.776705172959756	52698000
"Solomon Islands"	0.161205748602587	0.108781107890249	1e+05
"Seychelles"	0.560187889010924	0.532699632074107	759000
"Sudan"	0.250105113002986	0.203236682565673	4216000
"Sweden"	0.344628189798615	0.303667451661029	151217000
"Singapore"	0.132508256596401	0.0782900226336756	66426000
"Slovenia"	0.397018589170346	0.359332250993493	15270000
"Slovakia"	0.131411177259674	0.0771243758384039	22680000
"Sierra Leone"	0.802819240313863	0.790495442833479	577000
"San Marino"	0.148082008262536	0.0948371337789443	215000
"Senegal"	0.0115427160079084	-0.0502358642415974	3137000
"Somalia"	0.0470341844975792	-0.012526178971322	4e+05
"Suriname"	0.169933296421466	0.118054127447808	880000
"El Salvador"	0.275240343160556	0.229942864608091	10380000
"Syrian Arab Republic"	0.393115507582906	0.355185226806837	2005000
"Swaziland"	0.0549714490483932	-0.00409283538608207	245000
"Turks and Caicos Islands"	0.454271645130755	0.420163622951427	84000
"Togo"	0.426407303138014	0.39055775958414	595000
"Thailand"	0.660968974675175	0.639779535592373	78008000
"Tajikistan"	0.233958561839564	0.186080971954537	1421000
"Turkmenistan"	0.522301276005082	0.4924451057554	839000
"Tunisia"	0.480782172882725	0.448331058687895	12906000
"Turkey"	0.326526985780626	0.284434922391915	148185000
"Trinidad and Tobago"	0.681924256342986	0.662044522364423	4750000
"Taiwan"	0.27337345568963	0.227959296670232	163208000
"Tanzania, United Republic of"	0.283051204286815	0.238241904554741	5950000
"Ukraine"	0.289029404293048	0.244593742061364	250224000
"Uganda"	0.51526625479068	0.484970395715097	4578000
"United States"	0.714620176573249	0.696783937609078	3681768000
"Uruguay"	0.323518800056001	0.281238725059502	14356000
"Uzbekistan"	0.0410052445089598	-0.0189319277092301	5711000
"Saint Vincent and the Grenadines"	0.333316306289451	0.291648575432542	218000
"Venezuela"	0.000374333665138696	-0.0621022704807901	89207000
"Virgin Islands, British"	0.0890199445872787	0.0320836911239836	85000
"Virgin Islands, U.S."	0.790742491957836	0.777663897705201	355000
"Vietnam"	0.0982634119237653	0.0419048751690007	79148000
"Vanuatu"	0.574642586602215	0.548057748264854	131000
"Yemen"	0.421616886335407	0.38546794173137	2772000
"Mayotte"	0.274629299275266	0.22929363047997	348000
"South Africa"	0.100810168066716	0.0446108035708858	49855000
"Zambia"	0.00660288693458527	-0.0554844326320032	1958000
"Zimbabwe"	0.565014767206472	0.537828190156877	2767000
"Congo"	0.310857848439373	0.267786463966834	320000
"Central African Republic"	0.0919685619000125	0.0352165970187632	47000
"Saint Martin"	0.0780882062293874	0.0204687191187241	25000
